Date,Dividends
2014-03-26,0.123237
2012-03-27,0.197131
2011-03-28,0.501951
2010-09-27,0.212806
2010-03-26,1.168100
2009-09-25,0.485686
2009-03-26,1.270020
2008-09-25,1.088390
2008-03-26,1.654180
2007-09-26,0.198128
2007-03-28,0.788804
2006-09-27,0.075471
2006-03-28,0.379203
2005-09-27,0.079166
2005-03-28,0.084192
2004-09-27,0.082935
2004-03-26,0.080422
2003-09-25,0.071626
2003-03-26,0.077909
2002-09-25,0.062830
2002-03-26,0.050264
2001-09-25,0.050264
2001-03-27,0.051520
2000-09-26,0.059060
2000-03-28,0.061573
1999-09-27,0.065343
1999-03-26,0.076652
1998-09-25,0.079166
1998-03-26,0.076652
1997-09-25,0.060317
1997-03-25,0.067856
1996-09-25,0.069113
1996-03-26,0.050264
1995-09-26,0.076652
1995-03-24,0.064086
